50	385
100	395
150	414
200	416
250	419
300	406
350	413
400	409
450	393
500	383
550	354
600	348
650	348
700	349
750	339
800	329
850	334
900	322
950	322
1000	340
1050	358
1100	356
1150	367
1200	387
1250	398
1300	395
1350	378
1400	392
1450	370
1500	377
1550	368
1600	337
1650	347
1700	376
1750	377
1800	365
1850	391
1900	409
1950	397
2000	356
2050	346
2100	356
2150	375
2200	387
2250	390
2300	405
2350	440
2400	443
2450	446
2500	430
2550	409
2600	424
2650	428
2700	391
2750	388
2800	381
2850	413
2900	427
2950	416
3000	422
3050	449
3100	468
3150	489
3200	515
3250	535
3300	577
3350	626
3400	663
3450	713
3500	754
3550	719
3600	700
3650	660
3700	627
3750	611
3800	638
3850	610
3900	605
3950	575
4000	559
4050	559
4100	585
4150	571
4200	547
4250	550
4300	524
4350	526
4400	569
4450	531
4500	491
4550	458
4600	425
4650	408
4700	413
4750	423
4800	398
4850	424
4900	412
4950	408
5000	426
