50	385.98
100	395.76
150	414.32
200	416.3
250	419.76
300	406.44
350	413.96
400	409.7
450	393.82
500	383.28
550	354.06
600	348.38
650	348.82
700	349.46
750	339.8
800	329.9
850	334.74
900	322.66
950	322.74
1000	340.9
1050	358.62
1100	356.12
1150	367.4
1200	387.06
1250	398.34
1300	395.2
1350	378.78
1400	392.44
1450	370.38
1500	377.9
1550	368.0
1600	337.04
1650	347.4
1700	376.66
1750	377.46
1800	365.46
1850	391.9
1900	409.94
1950	397.5
2000	356.92
2050	346.36
2100	356.7
2150	375.44
2200	387.34
2250	390.8
2300	405.14
2350	440.06
2400	443.24
2450	446.02
2500	430.04
2550	409.44
2600	424.42
2650	428.3
2700	391.58
2750	388.96
2800	381.16
2850	413.66
2900	427.34
2950	416.24
3000	422.5
3050	449.9
3100	468.36
3150	489.88
3200	515.32
3250	535.08
3300	577.84
3350	626.82
3400	663.72
3450	713.0
3500	754.96
3550	719.9
3600	700.8
3650	660.32
3700	627.54
3750	611.92
3800	638.76
3850	610.5
3900	605.8
3950	575.26
4000	559.34
4050	559.22
4100	585.78
4150	571.88
4200	547.26
4250	550.58
4300	524.88
4350	526.4
4400	569.28
4450	531.94
4500	491.14
4550	458.44
4600	425.7
4650	408.68
4700	413.82
4750	423.06
4800	398.86
4850	424.14
4900	412.96
4950	408.8
5000	426.96
